pair_id,task,gamma,temperature,is_baseline,mean_tps,std_tps,p95_tps,mean_acceptance_rate,mean_acceptance_length,mean_ttft_ms,mean_peak_vram_gb,mean_draft_overhead,speedup
F,humaneval,0,0.0,True,9.63,0.06,9.69,1.0,1.0,179.12,9.32,0.0,1.0
F,triviaqa,0,0.0,True,9.63,0.02,9.65,1.0,1.0,134.99,9.26,0.0,1.0
F,humaneval,0,0.6,True,9.64,0.02,9.67,1.0,1.0,179.34,9.32,0.0,1.0
F,humaneval,0,1.0,True,9.67,0.01,9.69,1.0,1.0,179.14,9.32,0.0,1.0
F,triviaqa,0,0.6,True,9.68,0.02,9.71,1.0,1.0,135.27,9.26,0.0,1.0
F,triviaqa,0,1.0,True,9.66,0.02,9.7,1.0,1.0,135.2,9.26,0.0,1.0
F,cnn_dailymail,0,0.0,True,9.34,0.27,9.57,1.0,1.0,462.1,9.75,0.0,1.0
F,cnn_dailymail,0,0.6,True,9.31,0.26,9.55,1.0,1.0,462.27,9.75,0.0,1.0
F,cnn_dailymail,0,1.0,True,9.31,0.26,9.55,1.0,1.0,462.27,9.75,0.0,1.0
F,writingprompts,0,0.0,True,9.68,0.01,9.7,1.0,1.0,142.32,9.27,0.0,1.0
F,writingprompts,0,0.6,True,9.68,0.01,9.69,1.0,1.0,142.56,9.27,0.0,1.0
F,writingprompts,0,1.0,True,9.69,0.01,9.7,1.0,1.0,142.44,9.27,0.0,1.0
F,humaneval,1,0.0,False,9.72,0.34,10.17,0.6853,0.69,220.89,9.4,0.2117,1.009
F,triviaqa,1,0.0,False,10.5,0.17,10.68,0.8074,0.81,172.55,9.31,0.213,1.09
F,cnn_dailymail,1,0.0,False,8.3,0.55,9.19,0.5342,0.53,525.01,9.77,0.2174,0.889
F,writingprompts,1,0.0,False,8.43,0.27,8.82,0.4525,0.45,180.03,9.32,0.213,0.871
F,humaneval,3,0.0,False,11.51,1.08,13.4,0.8006,1.86,292.8,9.4,0.441,1.195
F,triviaqa,3,0.0,False,12.36,0.57,13.17,0.8585,2.04,246.97,9.31,0.4444,1.283
F,cnn_dailymail,3,0.0,False,8.01,0.96,9.66,0.5994,1.14,636.5,9.86,0.4495,0.858
F,writingprompts,3,0.0,False,7.84,0.43,8.58,0.5274,0.92,253.6,9.32,0.4436,0.81
F,humaneval,5,0.0,False,12.33,1.16,14.15,0.8588,2.94,367.7,9.4,0.5653,1.28
F,triviaqa,5,0.0,False,12.47,0.69,13.58,0.8751,2.96,320.48,9.31,0.5694,1.295
F,cnn_dailymail,5,0.0,False,7.12,0.97,8.78,0.6294,1.49,748.62,9.87,0.5742,0.763
F,writingprompts,5,0.0,False,7.16,0.55,8.04,0.5828,1.27,327.41,9.32,0.5679,0.74
F,humaneval,7,0.0,False,12.99,1.39,15.39,0.8925,4.1,442.62,9.4,0.6434,1.349
F,triviaqa,7,0.0,False,11.82,0.71,13.01,0.8811,3.67,395.48,9.32,0.6507,1.227
F,cnn_dailymail,7,0.0,False,6.24,1.01,7.81,0.6412,1.68,859.78,9.87,0.6521,0.669
F,writingprompts,7,0.0,False,6.34,0.55,7.36,0.6028,1.46,401.32,9.32,0.6454,0.655
F,humaneval,10,0.0,False,14.22,2.2,17.88,0.9279,6.03,555.24,9.4,0.7148,1.476
F,triviaqa,10,0.0,False,10.76,0.81,12.05,0.8842,4.34,505.21,9.32,0.7231,1.117
F,cnn_dailymail,10,0.0,False,5.27,1.04,7.12,0.6553,1.88,1024.23,9.88,0.7261,0.564
F,writingprompts,10,0.0,False,5.28,0.56,6.1,0.6141,1.58,510.75,9.33,0.7182,0.545
